List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50 Composite,1,TPB,2026-01-09,CupHandle,109.97,75.6,2,72.4,87.6,78.1,36.6,0.0,,,,,,,,,
Top 50 Composite,2,KVUE,2026-01-20,CupHandle,17.59,74.3,3,72.9,74.9,78.1,69.1,0.0,,,,,,,,,
Top 50 Composite,3,OOMA,2026-01-13,CupHandle,12.12,74.0,3,71.7,74.1,91.7,48.9,0.0,,,,,,,,,
Top 50 Composite,4,AVNS,2026-01-15,CupHandle,12.34,72.4,3,69.7,89.9,64.6,64.7,0.0,,,,,,-46.7%,,Healthcare,⚠️
Top 50 Composite,5,ASGN,2026-01-21,CupHandle,51.05,69.3,3,76.8,79.2,18.8,60.4,0.0,,,,,,7.2%,18.1,Technology,⚠️
Top 50 Composite,6,BAP,2026-01-13,CupHandle,311.50,67.4,3,74.6,64.1,49.0,78.7,8.9,,,,,,18.5%,15.5,Financial Services,✅
Top 50 Composite,7,GFI,2026-01-15,CupHandle,49.84,67.3,3,72.1,67.3,57.8,60.1,0.0,,,,,,,,,
Top 50 Composite,8,PAGS,2026-01-21,CupHandle,10.49,67.3,3,67.6,73.3,78.6,55.7,0.0,,,,,,,,,
Top 50 Composite,9,CNM,2026-01-15,CupHandle,57.86,66.3,3,76.2,56.9,42.2,59.0,0.0,,,,,,,,,
Top 50 Composite,10,GBCI,2026-01-15,CupHandle,48.39,66.2,3,67.6,84.1,55.2,52.4,0.0,,,,,,,,,
Top 50 Composite,11,LYV,2026-01-23,CupHandle,146.97,65.6,3,71.6,66.1,52.1,61.9,0.0,,,,,,,,,
Top 50 Composite,12,MUX,2026-01-20,CupHandle,24.49,65.4,3,74.4,66.6,32.3,70.1,3.4,,,,,,,,,
Top 50 Composite,13,AD,2026-01-14,CupHandle,57.19,65.2,3,70.3,67.1,50.0,84.2,0.0,,,,,,5.3%,22.6,Communication Services,⚠️
Top 50 Composite,14,TPC,2026-01-28,CupHandle,79.38,65.1,3,67.7,72.9,65.6,55.5,0.0,,,,,,,,,
Top 50 Composite,15,RAL,2026-01-23,CupHandle,53.73,64.9,4,71.4,66.5,50.0,58.4,0.0,,,,,,,,,
Top 50 Composite,16,CYD,2026-01-21,CupHandle,44.17,64.7,4,78.4,42.0,48.4,43.4,1.0,,,,,,,,,
Top 50 Composite,17,INR,2026-01-26,CupHandle,15.41,64.6,4,68.1,79.9,50.0,50.6,0.0,,,,,,,,,
Top 50 Composite,18,SSB,2026-01-22,CupHandle,100.56,64.6,4,70.2,82.0,30.2,59.0,0.0,,,,,,,,,
Top 50 Composite,19,LTM,2026-01-13,CupHandle,58.47,64.3,4,75.5,69.9,17.7,55.3,3.5,,,,,,,,,
Top 50 Composite,20,AIN,2026-01-22,CupHandle,58.15,64.2,4,76.2,45.2,50.5,54.2,0.0,,,,,,-6.1%,,Consumer Cyclical,⚠️
Top 50 Composite,21,JHX,2026-01-16,CupHandle,23.66,64.0,4,71.4,73.8,28.6,71.3,0.0,,,,,,,,,
Top 50 Composite,22,IPI,2026-01-12,CupHandle,31.39,63.6,4,74.8,68.3,15.1,67.7,0.8,,,,,,,,,
Top 50 Composite,23,SMFG,2026-01-09,CupHandle,20.20,63.3,4,72.3,55.7,56.8,42.9,0.0,,,,,,,,,
Top 50 Composite,24,DXYZ,2026-01-28,CupHandle,35.42,63.1,4,74.8,50.0,46.4,53.0,1.0,,,,,,,,,
