List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,DVXB,2026-02-03,CupHandle,28.80,78.5,2,83.5,74.5,50.0,100.0,25.5,,,,,
Top 50 Composite,2,HYP,2026-02-03,CupHandle,27.11,73.6,3,79.1,67.0,50.0,100.0,13.8,,,,,
Top 50 Composite,3,BUUU,2026-01-30,CupHandle,11.49,73.4,3,78.7,72.2,50.0,67.6,11.0,,,,,
Top 50 Composite,4,GLIBK,2026-02-09,CupHandle,38.98,71.1,3,74.9,72.8,50.0,68.1,0.0,,,,,
Top 50 Composite,5,KOID,2026-01-26,CupHandle,34.20,69.8,3,71.9,88.4,50.0,48.3,9.2,,,,,
Top 50 Composite,6,VEON,2026-01-22,CupHandle,55.28,69.8,3,78.5,59.9,51.0,41.5,4.0,,,,,
Top 50 Composite,7,APEI,2026-02-05,CupHandle,44.28,69.1,3,78.4,76.4,12.5,59.3,0.0,,,,,
Top 50 Composite,8,INVA,2026-02-03,CupHandle,21.00,69.1,3,71.1,67.9,72.9,61.7,0.0,,,,,
Top 50 Composite,9,OFLX,2026-02-02,CupHandle,35.53,67.7,3,77.7,74.2,22.9,58.0,12.3,,,,,
Top 50 Composite,10,BIDU,2026-01-21,CupHandle,162.28,67.5,3,75.6,73.8,30.7,43.2,1.0,,,,,
Top 50 Composite,11,USAU,2026-01-23,CupHandle,22.60,66.2,3,79.5,50.2,34.4,47.3,0.0,,,,,
Top 50 Composite,12,GLIBA,2026-02-09,CupHandle,39.03,66.0,3,71.5,74.9,50.0,66.2,12.9,,,,,
Top 50 Composite,13,OVLY,2026-01-21,CupHandle,31.79,65.8,3,73.5,69.0,51.0,58.3,17.0,,,,,
Top 50 Composite,14,AEBI,2026-02-02,CupHandle,15.14,65.5,3,70.1,73.9,50.0,57.4,0.0,,,,,
Top 50 Composite,15,ARCB,2026-01-29,CupHandle,85.31,65.4,3,78.2,71.3,2.6,60.1,3.1,,,,,
Top 50 Composite,16,QCMD,2026-02-05,CupHandle,26.98,65.4,3,77.8,47.7,50.0,100.0,25.5,,,,,
Top 50 Composite,17,LNSR,2026-01-30,CupHandle,12.73,64.6,4,76.4,38.2,66.7,76.2,12.6,,,,,
Top 50 Composite,18,PRN,2026-02-06,CupHandle,201.63,64.5,4,71.2,70.1,47.4,88.4,16.7,,,,,
Top 50 Composite,19,WAFD,2026-02-05,CupHandle,33.59,64.5,4,73.6,72.6,25.5,50.0,0.0,,,,,
Top 50 Composite,20,SNEX,2026-02-04,CupHandle,117.37,64.1,4,76.0,65.3,10.9,83.6,1.5,,,,,
Top 50 Composite,21,FRST,2026-01-21,CupHandle,14.02,64.0,4,77.7,48.7,34.4,59.9,2.6,,,,,
Top 50 Composite,22,UPWK,2026-01-23,CupHandle,22.11,63.9,4,70.3,73.2,32.3,85.2,0.0,,,,,
Top 50 Composite,23,SHLS,2026-02-04,CupHandle,10.18,63.8,4,71.6,71.2,34.4,58.4,0.0,,,,,
Top 50 Composite,24,PESI,2026-01-30,CupHandle,15.27,63.5,4,72.1,74.4,21.9,64.9,0.0,,,,,
Top 50 Composite,25,DAKT,2026-02-02,CupHandle,23.56,63.4,4,76.0,50.2,30.7,89.9,3.0,,,,,
Top 50 Composite,26,ALOT,2026-02-06,CupHandle,9.50,63.2,4,72.3,73.2,24.0,100.0,17.6,,,,,
Top 50 Composite,27,BKCH,2026-01-20,CupHandle,77.84,62.7,4,73.9,61.8,37.5,34.3,2.5,,,,,
Top 50 Composite,28,PYZ,2026-01-20,CupHandle,126.01,62.5,4,75.6,70.8,12.0,70.6,19.1,,,,,
Top 50 Composite,29,AMAL,2026-01-22,CupHandle,38.28,62.4,4,75.4,74.7,1.0,42.9,1.3,,,,,
Top 50 Composite,30,CIZN,2026-02-05,CupHandle,9.17,62.1,4,71.0,73.6,34.9,93.5,26.9,,,,,
Top 50 Composite,31,HTCO,2026-01-23,CupHandle,9.10,62.1,4,75.6,53.5,46.9,25.7,13.1,,,,,
