List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,DELL,2026-03-20,CupHandle,157.67,68.4,1,100.0,72.0,100.0,62.2,12.1,,,,,
Top 50 Composite,2,SO,2026-03-20,CupHandle,93.39,59.8,1,100.0,62.3,100.0,52.2,18.6,,,,,
Top 50 Composite,3,AXR,2026-03-17,CupHandle,28.39,56.8,1,72.6,72.0,100.0,59.3,27.2,,,,,
Top 50 Composite,4,GEL,2026-03-05,CupHandle,18.49,55.8,1,72.0,63.2,83.9,60.5,0.0,,,,,
Top 50 Composite,5,NPK,2026-03-09,DarvasBox,141.48,53.7,2,82.4,63.7,5.2,52.2,12.7,,,,,
Top 50 Composite,6,GRDN,2026-03-10,CupHandle,33.65,53.2,2,72.9,83.4,29.2,99.3,0.7,,,,,
Top 50 Composite,7,AMTB,2026-03-06,CupHandle,21.34,52.9,2,78.4,71.4,52.1,49.6,14.3,,,,,
Top 50 Composite,8,ELPC,2026-03-19,DarvasBox,11.89,52.7,2,80.0,71.3,17.2,76.1,0.7,,,,,
Top 50 Composite,9,TS,2026-03-19,DarvasBox,56.07,52.7,2,75.3,68.2,42.7,65.4,0.0,,,,,
Top 50 Composite,10,PUMP,2026-03-12,CupHandle,14.39,50.6,2,79.6,48.6,58.3,36.4,11.4,,,,,
Top 50 Composite,11,CTRA,2026-03-19,DarvasBox,33.90,50.4,2,74.2,69.2,42.2,60.8,0.0,,,,,
Top 50 Composite,12,PSX,2026-03-12,DarvasBox,174.09,50.2,2,82.0,60.0,3.1,49.4,0.0,,,,,
Top 50 Composite,13,TXO,2026-03-20,CupHandle,12.77,49.7,2,73.0,72.8,22.4,66.5,11.4,,,,,
Top 50 Composite,14,BP,2026-03-06,DarvasBox,40.44,49.6,2,83.6,35.5,22.9,76.0,0.4,,,,,
Top 50 Composite,15,ENB,2026-03-20,CupHandle,53.46,49.4,2,67.4,66.3,56.2,56.4,0.0,,,,,
Top 50 Composite,16,CRC,2026-03-06,CupHandle,64.74,49.4,2,75.7,68.6,20.8,59.1,0.7,,,,,
Top 50 Composite,17,COP,2026-03-20,DarvasBox,126.92,49.2,2,76.2,66.1,20.8,59.5,0.7,,,,,
Top 50 Composite,18,TTE,2026-03-19,DarvasBox,90.06,48.5,2,76.8,70.0,6.8,55.6,0.6,,,,,
Top 50 Composite,19,RRC,2026-03-19,CupHandle,45.28,48.0,2,62.3,60.0,100.0,55.0,11.4,,,,,
Top 50 Composite,20,BGR,2026-03-19,DarvasBox,16.72,47.9,2,69.3,66.6,46.9,65.3,7.1,,,,,
Top 50 Composite,21,SOBO,2026-03-13,CupHandle,33.49,47.7,2,64.9,54.4,100.0,51.4,18.6,,,,,
Top 50 Composite,22,PDS,2026-03-19,DarvasBox,98.20,47.6,2,76.4,50.0,40.6,51.3,0.0,,,,,
Top 50 Composite,23,NXG,2026-03-18,DarvasBox,56.30,47.0,2,73.4,74.0,1.0,45.7,7.6,,,,,
Top 50 Composite,24,ATEN,2026-03-17,CupHandle,21.27,46.8,2,60.1,60.0,100.0,95.7,22.9,,,,,
Top 50 Composite,25,SPNT,2026-03-04,CupHandle,21.24,46.5,2,62.1,67.2,79.7,59.8,0.0,,,,,
Top 50 Composite,26,EQT,2026-03-19,CupHandle,64.68,46.1,2,60.9,60.0,100.0,61.1,22.9,,,,,
Top 50 Composite,27,CVLG,2026-03-24,CupHandle,26.61,45.8,2,67.8,74.5,45.8,51.9,0.0,,,,,
Top 50 Composite,28,SI,2026-03-11,CupHandle,14.01,45.5,2,65.4,51.7,50.0,91.1,12.1,,,,,
Top 50 Composite,29,YOU,2026-03-24,DarvasBox,53.53,45.0,3,78.5,50.0,7.3,61.7,0.0,,,,,
Top 50 Composite,30,MGY,2026-03-09,DarvasBox,29.06,44.8,3,69.5,71.1,22.9,47.8,0.0,,,,,
Top 50 Composite,31,BLX,2026-03-20,CupHandle,49.00,44.1,3,65.2,69.0,38.5,63.2,0.0,,,,,
Top 50 Composite,32,SPIR,2026-03-18,CupHandle,10.74,44.0,3,66.2,69.2,43.2,96.9,1.4,,,,,
Top 50 Composite,33,MGM,2026-03-24,CupHandle,37.11,43.6,3,65.4,65.1,20.3,55.9,0.0,,,,,
Top 50 Composite,34,PEBPE,2026-03-17,CupHandle,20.07,43.5,3,62.2,68.7,76.6,82.9,28.3,,,,,
Top 50 Composite,35,ECVT,2026-03-24,DarvasBox,12.51,43.2,3,73.5,60.1,3.1,68.3,0.0,,,,,
Top 50 Composite,36,MXL,2026-03-20,CupHandle,16.56,42.7,3,62.6,69.4,83.3,50.5,14.3,,,,,
Top 50 Composite,37,FLNG,2026-03-19,DarvasBox,31.57,42.7,3,75.1,40.6,0.5,50.9,0.0,,,,,
Top 50 Composite,38,BURL,2026-03-05,CupHandle,321.47,42.6,3,68.1,66.7,15.1,40.3,0.0,,,,,
Top 50 Composite,39,FHI,2026-03-11,CupHandle,56.81,42.3,3,60.4,72.3,46.9,67.0,11.4,,,,,
Top 50 Composite,40,SNDR,2026-03-24,CupHandle,25.27,42.2,3,61.3,73.1,59.4,57.2,2.9,,,,,
Top 50 Composite,41,GKOS,2026-03-23,CupHandle,106.84,42.2,3,64.6,70.4,80.2,62.2,5.7,,,,,
Top 50 Composite,42,MCS,2026-03-04,CupHandle,17.49,42.2,3,65.7,69.1,7.3,40.6,0.7,,,,,
Top 50 Composite,43,MNR,2026-03-12,CupHandle,13.43,41.7,3,72.0,50.4,13.0,48.0,6.4,,,,,
Top 50 Composite,44,PEBpE,2026-03-17,CupHandle,20.07,41.6,3,60.8,68.7,76.6,54.6,28.2,,,,,
Top 50 Composite,45,AR,2026-03-20,CupHandle,43.09,41.5,3,70.4,50.3,32.3,53.8,0.0,,,,,
Top 50 Composite,46,TGS,2026-03-19,CupHandle,33.31,41.4,3,58.2,89.8,31.8,71.0,0.0,,,,,
Top 50 Composite,47,FN,2026-03-24,CupHandle,600.91,41.2,3,69.4,57.8,53.1,62.5,2.2,,,,,
Top 50 Composite,48,VRT,2026-03-10,DarvasBox,270.06,41.1,3,61.2,72.1,35.4,100.0,12.6,,,,,
Top 50 Composite,49,UNFI,2026-03-11,CupHandle,40.76,40.7,3,73.0,50.0,10.4,56.3,11.4,,,,,
Top 50 Composite,50,LB,2026-03-17,CupHandle,77.41,40.4,3,70.0,41.1,25.0,50.0,12.1,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,COOK,,,    24.42,,,,,,,,NYSE_Yahoo,2766.20,518760,,
Top 20 Momentum,2,FUBO,,,    10.85,,,,,,,,NYSE_Yahoo,835.34,10809731,,
Top 20 Momentum,3,XFLT,,,    16.32,,,,,,,,NYSE_Yahoo,337.53,894540,,
Top 20 Momentum,4,TLYS,,,     4.15,,,,,,,,NYSE_Yahoo,200.72,3325612,,
Top 20 Momentum,5,SOC,,,    17.69,,,,,,,,NYSE_Yahoo,89.20,8138968,,
Top 20 Momentum,6,VG,,,    16.71,,,,,,,,NYSE_Yahoo,78.72,33902691,,
Top 20 Momentum,7,KORE,,,     9.00,,,,,,,,NYSE_Yahoo,74.76,245511,,
Top 20 Momentum,8,BW,,,    15.63,,,,,,,,NYSE_Yahoo,70.26,6007730,,
Top 20 Momentum,9,CRCL,,,   103.86,,,,,,,,NYSE_Yahoo,69.24,24563150,,
Top 20 Momentum,10,FSLY,,,    29.79,,,,,,,,NYSE_Yahoo,68.59,12237268,,
Top 20 Momentum,11,AMPX,,,    17.93,,,,,,,,NYSE_Yahoo,66.02,10172858,,
Top 20 Momentum,12,CURV,,,     1.71,,,,,,,,NYSE_Yahoo,64.42,1567141,,
Top 20 Momentum,13,YOU,,,    54.48,,,,,,,,NYSE_Yahoo,62.77,2140315,,
Top 20 Momentum,14,AGRO,,,    14.70,,,,,,,,NYSE_Yahoo,60.83,2014916,,
Top 20 Momentum,15,LXU,,,    15.81,,,,,,,,NYSE_Yahoo,57.16,1981127,,
Top 20 Momentum,16,RYAM,,,    11.22,,,,,,,,NYSE_Yahoo,56.49,1502773,,
Top 20 Momentum,17,SPIR,,,    13.73,,,,,,,,NYSE_Yahoo,54.97,663919,,
Top 20 Momentum,18,CVI,,,    32.69,,,,,,,,NYSE_Yahoo,50.58,1586975,,
Top 20 Momentum,19,PARR,,,    61.46,,,,,,,,NYSE_Yahoo,49.79,1639612,,
Top 20 Momentum,20,FIGS,,,    15.84,,,,,,,,NYSE_Yahoo,44.53,4840116,,
,,,,,,,,,,,,,,,,,
Top 20 Volume,1,SPY,,,   656.82,,,,,,,,NYSE_Yahoo,,, 68263478732,-1.12
Top 20 Volume,2,PLTR,,,   154.96,,,,,,,,NYSE_Yahoo,,,  6665265264,0.95
Top 20 Volume,3,TSM,,,   347.75,,,,,,,,NYSE_Yahoo,,,  4822934630,3.28
Top 20 Volume,4,VRT,,,   276.16,,,,,,,,NYSE_Yahoo,,,  4094266112,4.06
Top 20 Volume,5,JPM,,,   295.42,,,,,,,,NYSE_Yahoo,,,  3318649229,4.43
Top 20 Volume,6,COHR,,,   272.04,,,,,,,,NYSE_Yahoo,,,  3153932129,12.75
Top 20 Volume,7,WMT,,,   123.06,,,,,,,,NYSE_Yahoo,,,  2807279490,-1.81
Top 20 Volume,8,CRM,,,   181.96,,,,,,,,NYSE_Yahoo,,,  2741333493,-8.69
Top 20 Volume,9,UNH,,,   270.55,,,,,,,,NYSE_Yahoo,,,  2675353737,-2.35
Top 20 Volume,10,GEV,,,   923.69,,,,,,,,NYSE_Yahoo,,,  2424864806,11.01
Top 20 Volume,11,CRCL,,,   103.86,,,,,,,,NYSE_Yahoo,,,  2224848635,-9.04
Top 20 Volume,12,BAC,,,    48.75,,,,,,,,NYSE_Yahoo,,,  2084726480,3.44
Top 20 Volume,13,V,,,   304.91,,,,,,,,NYSE_Yahoo,,,  2056395604,-0.52
Top 20 Volume,14,ACN,,,   192.29,,,,,,,,NYSE_Yahoo,,,  1881724742,-1.92
Top 20 Volume,15,GS,,,   841.84,,,,,,,,NYSE_Yahoo,,,  1876028041,6.90
Top 20 Volume,16,JNJ,,,   239.93,,,,,,,,NYSE_Yahoo,,,  1859544826,-0.87
Top 20 Volume,17,CAT,,,   719.04,,,,,,,,NYSE_Yahoo,,,  1792223539,2.62
Top 20 Volume,18,GE,,,   296.56,,,,,,,,NYSE_Yahoo,,,  1727337460,-3.31
Top 20 Volume,19,BA,,,   199.61,,,,,,,,NYSE_Yahoo,,,  1554465135,-2.52
Top 20 Volume,20,CIEN,,,   437.70,,,,,,,,NYSE_Yahoo,,,  1511527179,29.95
