List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,50,AMTB,2025-12-19,CupHandle,20.16,54.6,4,67.5,29.7,82.3,34.2,0.0,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,RPT,,,    16.42,,,,,,,,NYSE,531.54,194871,,
Top 20 Momentum,2,PL,,,    20.41,,,,,,,,NYSE,57.61,15408221,,
Top 20 Momentum,3,SOC,,,     8.75,,,,,,,,NYSE,55.97,12553903,,
Top 20 Momentum,4,CPAC,,,    10.50,,,,,,,,NYSE,54.87,280610,,
Top 20 Momentum,5,COOK,,,     1.06,,,,,,,,NYSE,48.02,756031,,
Top 20 Momentum,6,DBI,,,     7.14,,,,,,,,NYSE,47.22,2177286,,
Top 20 Momentum,7,AHT,,,     4.42,,,,,,,,NYSE,43.97,505699,,
Top 20 Momentum,8,XZO,,,    23.89,,,,,,,,NYSE,39.87,211316,,
Top 20 Momentum,9,NXDT,,,     3.70,,,,,,,,NYSE,38.06,554633,,
Top 20 Momentum,10,DDL,,,     2.88,,,,,,,,NYSE,37.80,1996103,,
Top 20 Momentum,11,ALEX,,,    20.63,,,,,,,,NYSE,36.26,1954261,,
Top 20 Momentum,12,RDW,,,     9.03,,,,,,,,NYSE,32.40,15713280,,
Top 20 Momentum,13,LITB,,,     2.42,,,,,,,,NYSE,32.24,27272,,
Top 20 Momentum,14,CTEV,,,    43.44,,,,,,,,NYSE,31.72,247601,,
Top 20 Momentum,15,ANF,,,   123.74,,,,,,,,NYSE,28.91,1997542,,
Top 20 Momentum,16,CUK,,,    30.68,,,,,,,,NYSE,27.89,2135663,,
Top 20 Momentum,17,AP,,,     4.25,,,,,,,,NYSE,26.87,180851,,
Top 20 Momentum,18,COLD,,,    13.36,,,,,,,,NYSE,26.16,6738849,,
Top 20 Momentum,19,LION,,,     9.25,,,,,,,,NYSE,25.68,3691211,,
Top 20 Momentum,20,AERO,,,    22.19,,,,,,,,NYSE,25.01,288434,,
,,,,,,,,,,,,,,,,,
Top 20 Volume,1,ORCL,,,   195.71,,,,,,,,NYSE,,,  2931261350,-1.35
Top 20 Volume,2,JPM,,,   325.48,,,,,,,,NYSE,,,  2160834909,0.74
Top 20 Volume,3,LLY,,,  1079.75,,,,,,,,NYSE,,,  1725090481,0.30
Top 20 Volume,4,UNH,,,   336.40,,,,,,,,NYSE,,,  1659512795,3.46
Top 20 Volume,5,NKE,,,    63.28,,,,,,,,NYSE,,,  1656156899,10.59
Top 20 Volume,6,TSM,,,   299.58,,,,,,,,NYSE,,,  1656084781,2.15
Top 20 Volume,7,C,,,   117.21,,,,,,,,NYSE,,,  1564098550,-0.75
Top 20 Volume,8,WMT,,,   112.76,,,,,,,,NYSE,,,  1553220809,0.14
Top 20 Volume,9,XOM,,,   122.65,,,,,,,,NYSE,,,  1366726128,3.81
Top 20 Volume,10,BA,,,   227.77,,,,,,,,NYSE,,,  1237613179,5.04
Top 20 Volume,11,V,,,   353.62,,,,,,,,NYSE,,,  1187187621,0.43
Top 20 Volume,12,BAC,,,    55.95,,,,,,,,NYSE,,,  1151706454,0.13
Top 20 Volume,13,BABA,,,   155.74,,,,,,,,NYSE,,,  1150333018,3.17
Top 20 Volume,14,GEV,,,   659.64,,,,,,,,NYSE,,,  1137982563,-0.33
Top 20 Volume,15,CRM,,,   253.62,,,,,,,,NYSE,,,  1128026308,-4.16
Top 20 Volume,16,NOW,,,   147.45,,,,,,,,NYSE,,,  1114366719,-5.89
Top 20 Volume,17,QBTS,,,    28.13,,,,,,,,NYSE,,,  1113425109,-12.61
Top 20 Volume,18,NVO,,,    52.39,,,,,,,,NYSE,,,  1097521358,8.92
Top 20 Volume,19,MA,,,   563.13,,,,,,,,NYSE,,,  1038425517,-2.18
Top 20 Volume,20,JNJ,,,   207.63,,,,,,,,NYSE,,,  1034432125,0.15
